"strain","median.mean","median.sd","sd.mean","sd.sd","genotype","expids","treatment"
"EMS",1.00111478648117,0.00487396446422427,0.966912731188951,0.0626018205952879,"wt.1","0","ems"
"EMS",1.01093481078329,0.0185621223755318,0.92079041954246,0.114970685338216,"wt.1","0","ems"
"EMS",0.989648615477001,0.00576812786311219,0.970017023125782,0.0450501118674114,"wt.1","0","ems"
"EMS",0.97749886180881,0.00893119151223411,0.922822616285704,0.0534834071352241,"wt.1","0","ems"
"EMS",0.994491740263968,0.00782390362876068,0.99066736024085,0.0454538865540745,"wt.1","0","ems"
"EMS",0.935874210304637,0.0433087891381444,0.832312898546622,0.101792027556188,"wt.1","0","ems"
"EMS",1.00162288209145,0.0100913953390702,0.981036414938299,0.0308147571022986,"wt.1","0","ems"
"EMS",0.99706726897219,0.00527603076672704,0.9574782548728,0.00832058880386026,"wt.1","0","ems"
"EMS",0.962812029756883,0.0098883098585486,1.33634799810696,0.094648850446353,"wt.1","0","ems"
"EMS",0.993646021834599,0.00369334594946629,0.980819068813839,0.0559992006238642,"wt.1","0","ems"
